"Opérations de long terme"
"En millions de dirhams
"
"Date d'opération";"Date de valeur";"Date d'échéance";Instrument;"Montant demandé";"Montant servi";Taux
20/10/2020;22/10/2020;21/10/2021;"Prêt garanti";167,00;167,00;"1,25 %"
20/10/2020;22/10/2020;19/11/2020;"Prêt garanti";"8 779,00";"3 115,00";"1,50 %"
20/10/2020;22/10/2020;19/11/2020;"Pension livrée";"25 040,00";"8 885,00";"1,50 %"
20/10/2020;22/10/2020;19/11/2020;"Swap de change";"5 300,00";"5 300,00";"0,00 %"
19/10/2020;22/10/2020;21/10/2021;"Prêt garanti";"2 640,00";"2 640,00";"1,50 %"
19/10/2020;22/10/2020;21/10/2021;"Prêt garanti";370,00;370,00;"1,50 %"
19/10/2020;22/10/2020;21/10/2021;"Prêt garanti";220,00;220,00;"1,50 %"
19/10/2020;22/10/2020;10/06/2021;"Prêt garanti";810,00;810,00;"1,50 %"
22/09/2020;24/09/2020;22/10/2020;"Pension livrée";"25 120,00";"12 929,00";"1,50 %"
22/09/2020;24/09/2020;17/12/2020;"Pension livrée";"23 090,00";"17 639,00";"1,50 %"
22/09/2020;24/09/2020;22/10/2020;"Prêt garanti";"7 910,00";"4 071,00";"1,50 %"
22/09/2020;24/09/2020;17/12/2020;"Prêt garanti";"18 800,00";"14 361,00";"1,50 %"
22/09/2020;24/09/2020;22/10/2020;"Swap de change";"4 900,00";"4 900,00";"0,00 %"
21/09/2020;24/09/2020;23/09/2021;"Prêt garanti";460,00;460,00;"1,50 %"
25/08/2020;27/08/2020;24/09/2020;"Prêt garanti";"6 000,00";"4 837,00";"1,50 %"
25/08/2020;27/08/2020;24/09/2020;"Pension livrée";"31 210,00";"25 163,00";"1,50 %"
25/08/2020;27/08/2020;24/09/2020;"Swap de change";"5 900,00";"5 900,00";"0,00 %"
24/08/2020;27/08/2020;19/08/2021;"Prêt garanti";"3 630,00";"3 630,00";"1,50 %"
21/07/2020;23/07/2020;27/08/2020;"Pension livrée";"27 380,00";"27 380,00";"1,50 %"
21/07/2020;23/07/2020;26/07/2021;"Prêt garanti";46,00;46,00;"1,25 %"
21/07/2020;23/07/2020;27/08/2020;"Swap de change";"2 950,00";"2 950,00";"0,00 %"
21/07/2020;23/07/2020;27/08/2020;"Prêt garanti";"6 400,00";"6 400,00";"1,50 %"
20/07/2020;23/07/2020;26/07/2021;"Prêt garanti";"3 580,00";"3 580,00";"1,50 %"
22/06/2020;25/06/2020;17/06/2021;"Prêt garanti";400,00;400,00;"1,50 %"
16/06/2020;18/06/2020;23/07/2020;"Swap de change";"2 960,00";"2 960,00";"0,00 %"
16/06/2020;18/06/2020;24/09/2020;"Pension livrée";"26 640,00";"16 653,00";"1,50 %"
16/06/2020;18/06/2020;23/07/2020;"Pension livrée";"17 960,00";"17 960,00";"1,50 %"
16/06/2020;18/06/2020;24/09/2020;"Prêt garanti";"30 950,00";"19 347,00";"1,50 %"
16/06/2020;18/06/2020;23/07/2020;"Prêt garanti";"7 030,00";"7 030,00";"1,50 %"
